ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;debriefing_1;debriefing_2;debriefing_3;Display.RefreshRate;ExperimentVersion;Group;InstrucAllg.DEVICE;Intro.DEVICE;Intro2.DEVICE;RandomSeed;RuntimeCapabilities;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;StudioVersion;Counterbalance;CounterbalanceList;CounterbalanceList.Cycle;CounterbalanceList.Sample;InstrucSwitch.DEVICE;Intro4.DEVICE;Procedure[Counterbalance];Running[Counterbalance];Block;FdbSwitches.DEVICE;InstrucFlanker.DEVICE;InstrucSimon.DEVICE;MixedList;MixedList.Cycle;MixedList.Sample;PostList;PostList.Cycle;PostList.Sample;PreList;PreList.Cycle;PreList.Sample;Procedure[Block];Running[Block];Trial;BlockNr;ITIDuration;Procedure[Trial];Running[Trial];SwitchList;SwitchList.Cycle;SwitchList.Sample;SwitchTask.DEVICE;SwitchTask.RESP;SwitchTask.RT;SwitchTask.RTTime;TASK;TrainListFlankerPre20;TrainListFlankerPre20.Cycle;TrainListFlankerPre20.Sample;TrainListFlankerPre80;TrainListFlankerPre80.Cycle;TrainListFlankerPre80.Sample;TrainListSimonPre20;TrainListSimonPre20.Cycle;TrainListSimonPre20.Sample;TrainListSimonPre80;TrainListSimonPre80.Cycle;TrainListSimonPre80.Sample;LogLevel5;BlockTrial;Colour;COMP;CorrectResp;errormsg;Flanker;FlankerList20;FlankerList20.Cycle;FlankerList20.Sample;FlankerList50;FlankerList50.Cycle;FlankerList50.Sample;FlankerList80;FlankerList80.Cycle;FlankerList80.Sample;POS;Procedure[LogLevel5];Running[LogLevel5];Side;SimonList20;SimonList20.Cycle;SimonList20.Sample;SimonList50;SimonList50.Cycle;SimonList50.Sample;SimonList80;SimonList80.Cycle;SimonList80.Sample;Target;Target.ACC;Target.CRESP;Target.DEVICE;Target.RESP;Target.RT;TrialNr
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;1;1;white;1;{BACKSLASH};;S;2;1;1;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;S;1;{BACKSLASH};Keyboard;{BACKSLASH};632;1
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;2;2;white;1;a;;H;1;1;2;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;H;1;a;Keyboard;a;480;2
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;3;3;white;-1;{BACKSLASH};;H;10;1;3;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;S;1;{BACKSLASH};Keyboard;{BACKSLASH};550;3
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;4;4;white;1;{BACKSLASH};Fehler!;S;6;1;4;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;S;0;{BACKSLASH};Keyboard;a;438;4
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;5;5;white;-1;a;;S;9;1;5;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;H;1;a;Keyboard;a;753;5
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;6;6;white;1;{BACKSLASH};;S;4;1;6;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;S;1;{BACKSLASH};Keyboard;{BACKSLASH};375;6
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;7;7;white;1;a;;H;7;1;7;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;H;1;a;Keyboard;a;449;7
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;8;8;white;1;a;;H;5;1;8;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;H;1;a;Keyboard;a;416;8
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;9;9;white;1;{BACKSLASH};;S;8;1;9;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;S;1;{BACKSLASH};Keyboard;{BACKSLASH};444;9
SeminarExperimentWS2324;306;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">7094437297712</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-10-26T19:56:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";SeminarExperimentWS2324-0306-1;;;;60.033;1.0.0.48;1;Keyboard;Keyboard;Keyboard;-845970411;Full;3.0.3.214;3.0.3.214;10-26-2023;26.10.2023 19:56;21:56:40;3.0.3.214;1;2;2;1;Keyboard;Keyboard;CounterBalanceProc;CounterbalanceList;1;;Keyboard;;;;;;;;1;2;1;TrainProcFlank;PreList;1;1;;TrainFlankerProc20;TrainListFlankerPre20;;;;;;;;;1;1;1;;;;;;;;;;10;10;white;1;a;;H;3;1;10;;;;;;;;TrialProc;FlankerList20;50%;;;;;;;;;;H;1;a;Keyboard;a;482;10
